id,카드번호,1개당 판매금액,product_code,purchase_time,seller_name,총판매금액,total_purchaseea,고객ID,사업자등록번호
27,604-1325-7579,39600,식품,2024-01-21,농심,39600,1,kangsoyul678,118-81-03914
28,326-6430-8907,75000,리빙,2024-01-06,모던홈,75000,1,kimminjun123,106-81-54897
29,667-9801-5998,300000,전자기기,2024-01-04,위니아,300000,1,kimtaewoo456,290-85-00804
30,401-4344-4672,1100000,리빙,2024-01-04,모던홈,1100000,1,kwonhayul345,106-81-54897
31,440-9325-8184,128400,공구,2024-01-24,Bosch,128400,1,leejian567,314-81-70874
32,338-3064-9348,39500,식품,2024-01-09,(주)횡성명품한우유통사업단,39500,1,leeseoyeon234,233-87-00692
33,589-3176-5724,28000,식품,2024-01-29,도드람양돈협동조합,28000,1,limyuna890,126-82-04416
34,552-1199-3545,185780,공구,2024-01-14,Bosch,185780,1,nohjunhyuk012,314-81-70874
35,832-8847-7656,128400,공구,2024-01-04,Bosch,128400,1,ohsiwoo234,314-81-70874
36,857-7882-7770,120000,리빙,2024-01-30,모던홈,120000,1,parkdoyun345,106-81-54897
37,247-2596-5623,14400,식품,2024-01-03,팔도,14400,1,parkyejun678,308-81-03161
38,354-2077-6032,22000,도서,2024-01-24,열린책들,22000,1,sonminseo901,101-81-90181
39,834-2467-5017,45000,리빙,2024-01-26,모던홈,45000,1,yoondoyun012,106-81-54897
40,996-1567-2673,51600,식품,2024-01-26,(주)동원엔터프라이즈,51600,1,yoonhajun789,214-86-79828
41,118-8816-4816,22000,도서,2024-01-06,열린책들,22000,1,choihaeun456,101-81-90181
42,499-3145-1794,13800,도서,2024-01-19,열린책들,13800,1,choiseowoo789,101-81-90181
43,496-8313-4846,2690000,전자기기,2024-01-12,LG전자,2690000,1,hwangseoah123,107-86-14075
44,393-8890-6519,22000,도서,2024-01-23,열린책들,22000,1,junghajin890,101-81-90181
45,989-4024-3564,199000,공구,2024-01-26,Bosch,199000,1,jungjiho567,314-81-70874
46,897-7580-1220,13800,도서,2024-01-17,열린책들,13800,1,kangjia901,101-81-90181
47,604-1325-7579,43900,식품,2024-01-27,농협,43900,1,kangsoyul678,119-85-45180
48,326-6430-8907,115000,패션,2024-01-17,나이스,115000,1,kimminjun123,211-81-30457
49,667-9801-5998,200000,패션,2024-01-18,아디오스,200000,1,kimtaewoo456,214-21-07412
50,401-4344-4672,29000,도서,2024-01-07,길벗,29000,1,kwonhayul345,105-81-69021
51,440-9325-8184,142800,공구,2024-02-06,Bosch,142800,1,leejian567,314-81-70874
52,338-3064-9348,419000,전자기기,2024-02-02,알파스캔,419000,1,leeseoyeon234,116-81-50968
53,589-3176-5724,139000,패션,2024-02-26,아디오스,139000,1,limyuna890,214-21-07412
54,552-1199-3545,39600,식품,2024-02-03,농심,39600,1,nohjunhyuk012,118-81-03914
55,832-8847-7656,400000,패션,2024-02-27,노스페이스,400000,1,ohsiwoo234,110-81-27101
56,857-7882-7770,31500,패션,2024-02-15,디스이즈네버댓,31500,1,parkdoyun345,361-86-01005
57,247-2596-5623,800000,리빙,2024-02-09,모던홈,800000,1,parkyejun678,106-81-54897
58,354-2077-6032,700000,전자기기,2024-02-26,삼성전자,700000,1,sonminseo901,124-81-00998
59,834-2467-5017,1100000,리빙,2024-02-15,모던홈,1100000,1,yoondoyun012,106-81-54897
60,996-1567-2673,45000,리빙,2024-02-23,모던홈,45000,1,yoonhajun789,106-81-54897
61,118-8816-4816,648000,전자기기,2024-02-18,엠지텍,648000,1,choihaeun456,135-81-89784
62,499-3145-1794,142800,공구,2024-02-20,Bosch,142800,1,choiseowoo789,314-81-70874
63,496-8313-4846,200000,패션,2024-02-28,아디오스,200000,1,hwangseoah123,214-21-07412
64,393-8890-6519,36000,공구,2024-02-23,Bosch,36000,1,junghajin890,314-81-70874
65,989-4024-3564,128400,공구,2024-02-03,Bosch,128400,1,jungjiho567,314-81-70874
66,897-7580-1220,31500,패션,2024-02-23,디스이즈네버댓,31500,1,kangjia901,361-86-01005
67,604-1325-7579,648000,전자기기,2024-02-21,엠지텍,648000,1,kangsoyul678,135-81-89784
68,326-6430-8907,1610000,패션,2024-02-26,아구찜,1610000,1,kimminjun123,120-81-79834
69,667-9801-5998,239000,패션,2024-02-19,나이스,239000,1,kimtaewoo456,211-81-30457
70,401-4344-4672,115000,패션,2024-02-15,나이스,115000,1,kwonhayul345,211-81-30457
71,440-9325-8184,200000,패션,2024-02-14,아디오스,200000,1,leejian567,214-21-07412
72,338-3064-9348,14900,식품,2024-02-27,(주)해맑음푸드,14900,1,leeseoyeon234,137-86-46087
73,589-3176-5724,43900,식품,2024-02-28,농협,43900,1,limyuna890,119-85-45180
74,552-1199-3545,200000,패션,2024-02-26,아디오스,200000,1,nohjunhyuk012,214-21-07412
75,832-8847-7656,31500,패션,2024-02-27,디스이즈네버댓,31500,1,ohsiwoo234,361-86-01005
76,857-7882-7770,39600,식품,2024-02-16,농심,39600,1,parkdoyun345,118-81-03914
77,247-2596-5623,28000,식품,2024-02-26,도드람양돈협동조합,28000,1,parkyejun678,126-82-04416
78,354-2077-6032,194200,공구,2024-02-28,Bosch,194200,1,sonminseo901,314-81-70874
79,834-2467-5017,118300,패션,2024-02-26,디스이즈네버댓,118300,1,yoondoyun012,361-86-01005
80,996-1567-2673,700000,리빙,2024-02-04,모던홈,700000,1,yoonhajun789,106-81-54897
81,118-8816-4816,118300,패션,2024-02-20,디스이즈네버댓,118300,1,choihaeun456,361-86-01005
82,499-3145-1794,240000,전자기기,2024-02-13,캐리어,240000,1,choiseowoo789,141-03-86047
83,496-8313-4846,45000,리빙,2024-02-22,모던홈,45000,1,hwangseoah123,106-81-54897
84,393-8890-6519,12800,도서,2024-02-29,열린책들,12800,1,junghajin890,101-81-90181
85,989-4024-3564,31500,패션,2024-02-19,디스이즈네버댓,31500,1,jungjiho567,361-86-01005
86,897-7580-1220,39500,식품,2024-02-08,(주)횡성명품한우유통사업단,39500,1,kangjia901,233-87-00692
87,604-1325-7579,400000,패션,2024-02-07,노스페이스,400000,1,kangsoyul678,110-81-27101
88,326-6430-8907,4900000,패션,2024-02-28,아구찜,4900000,1,kimminjun123,120-81-79834
89,667-9801-5998,26000,식품,2024-02-10,롯데칠성음료,26000,1,kimtaewoo456,214-81-07770
90,401-4344-4672,69000,리빙,2024-02-25,모던홈,69000,1,kwonhayul345,106-81-54897
91,440-9325-8184,300000,전자기기,2024-02-06,위니아,300000,1,leejian567,290-85-00804
92,338-3064-9348,120000,리빙,2024-02-06,모던홈,120000,1,leeseoyeon234,106-81-54897
93,589-3176-5724,14400,식품,2024-02-17,팔도,14400,1,limyuna890,308-81-03161
94,552-1199-3545,194200,공구,2024-02-29,Bosch,194200,1,nohjunhyuk012,314-81-70874
95,832-8847-7656,700000,리빙,2024-02-15,모던홈,700000,1,ohsiwoo234,106-81-54897
96,857-7882-7770,75000,리빙,2024-02-28,모던홈,75000,1,parkdoyun345,106-81-54897
97,247-2596-5623,600000,전자기기,2024-02-05,위니아,600000,1,parkyejun678,290-85-00804
98,354-2077-6032,118300,패션,2024-02-09,디스이즈네버댓,118300,1,sonminseo901,361-86-01005
99,834-2467-5017,118300,패션,2024-02-19,디스이즈네버댓,118300,1,yoondoyun012,361-86-01005
100,996-1567-2673,26000,식품,2024-02-04,롯데칠성음료,26000,1,yoonhajun789,214-81-07770
101,118-8816-4816,31500,패션,2024-02-29,디스이즈네버댓,31500,1,choihaeun456,361-86-01005
102,499-3145-1794,115000,패션,2024-02-15,나이스,115000,1,choiseowoo789,211-81-30457
103,496-8313-4846,700000,전자기기,2024-02-03,삼성전자,700000,1,hwangseoah123,124-81-00998
104,393-8890-6519,13800,도서,2024-02-01,열린책들,13800,1,junghajin890,101-81-90181
105,989-4024-3564,530000,전자기기,2024-02-16,소니코리아(주),530000,1,jungjiho567,106-81-23810
106,897-7580-1220,98270,공구,2024-02-05,Bosch,98270,1,kangjia901,314-81-70874
107,604-1325-7579,2690000,전자기기,2024-02-16,LG전자,2690000,1,kangsoyul678,107-86-14075
108,326-6430-8907,700000,리빙,2024-02-04,모던홈,700000,1,kimminjun123,106-81-54897
109,667-9801-5998,300000,전자기기,2024-02-03,위니아,300000,1,kimtaewoo456,290-85-00804
110,401-4344-4672,200000,패션,2024-02-05,아디오스,200000,1,kwonhayul345,214-21-07412
111,440-9325-8184,700000,전자기기,2024-02-01,삼성전자,700000,1,leejian567,124-81-00998
112,338-3064-9348,800000,리빙,2024-02-26,모던홈,800000,1,leeseoyeon234,106-81-54897
113,589-3176-5724,7800,식품,2024-02-05,풀무원,7800,1,limyuna890,315-81-01744
114,552-1199-3545,14400,식품,2024-02-22,팔도,14400,1,nohjunhyuk012,308-81-03161
115,832-8847-7656,150000,리빙,2024-02-24,모던홈,150000,1,ohsiwoo234,106-81-54897
116,857-7882-7770,648000,전자기기,2024-02-09,엠지텍,648000,1,parkdoyun345,135-81-89784
117,247-2596-5623,1100000,리빙,2024-02-23,모던홈,1100000,1,parkyejun678,106-81-54897
118,354-2077-6032,115000,패션,2024-02-20,나이스,115000,1,sonminseo901,211-81-30457
119,834-2467-5017,120000,리빙,2024-02-26,모던홈,120000,1,yoondoyun012,106-81-54897
120,996-1567-2673,139000,패션,2024-02-02,아디오스,139000,1,yoonhajun789,214-21-07412
121,118-8816-4816,700000,전자기기,2024-02-29,삼성전자,700000,1,choihaeun456,124-81-00998
122,499-3145-1794,22000,도서,2024-02-19,열린책들,22000,1,choiseowoo789,101-81-90181
123,496-8313-4846,36000,공구,2024-02-14,Bosch,36000,1,hwangseoah123,314-81-70874
124,393-8890-6519,115000,패션,2024-02-12,나이스,115000,1,junghajin890,211-81-30457
125,989-4024-3564,31500,패션,2024-02-06,디스이즈네버댓,31500,1,jungjiho567,361-86-01005
126,897-7580-1220,800000,리빙,2024-02-21,모던홈,800000,1,kangjia901,106-81-54897
127,604-1325-7579,75000,리빙,2024-02-02,모던홈,75000,1,kangsoyul678,106-81-54897
128,326-6430-8907,150000,리빙,2024-02-28,모던홈,150000,1,kimminjun123,106-81-54897
129,667-9801-5998,26000,식품,2024-02-19,롯데칠성음료,26000,1,kimtaewoo456,214-81-07770
130,401-4344-4672,1610000,패션,2024-02-18,아구찜,1610000,1,kwonhayul345,120-81-79834
131,440-9325-8184,69000,리빙,2024-02-06,모던홈,69000,1,leejian567,106-81-54897
132,338-3064-9348,648000,전자기기,2024-02-20,엠지텍,648000,1,leeseoyeon234,135-81-89784
133,589-3176-5724,200000,패션,2024-02-07,아디오스,200000,1,limyuna890,214-21-07412
134,552-1199-3545,45000,리빙,2024-02-24,모던홈,45000,1,nohjunhyuk012,106-81-54897
135,832-8847-7656,14400,식품,2024-02-04,팔도,14400,1,ohsiwoo234,308-81-03161
136,857-7882-7770,115000,패션,2024-02-13,나이스,115000,1,parkdoyun345,211-81-30457
137,247-2596-5623,419000,전자기기,2024-02-16,알파스캔,419000,1,parkyejun678,116-81-50968
138,354-2077-6032,43900,식품,2024-02-07,농협,43900,1,sonminseo901,119-85-45180
139,834-2467-5017,239000,패션,2024-02-11,나이스,239000,1,yoondoyun012,211-81-30457
140,996-1567-2673,14400,식품,2024-02-06,팔도,14400,1,yoonhajun789,308-81-03161
141,118-8816-4816,700000,리빙,2024-02-12,모던홈,700000,1,choihaeun456,106-81-54897
142,499-3145-1794,134000,공구,2024-02-12,Bosch,134000,1,choiseowoo789,314-81-70874
143,496-8313-4846,43900,식품,2024-02-22,농협,43900,1,hwangseoah123,119-85-45180
144,393-8890-6519,934410,공구,2024-02-24,Bosch,934410,1,junghajin890,314-81-70874
145,989-4024-3564,350000,전자기기,2024-02-02,삼성전자,350000,1,jungjiho567,124-81-00998
146,897-7580-1220,2690000,전자기기,2024-02-19,LG전자,2690000,1,kangjia901,107-86-14075
147,604-1325-7579,7800,식품,2024-02-21,풀무원,7800,1,kangsoyul678,315-81-01744
148,326-6430-8907,31500,패션,2024-02-10,디스이즈네버댓,31500,1,kimminjun123,361-86-01005
149,667-9801-5998,24000,도서,2024-02-21,길벗,24000,1,kimtaewoo456,105-81-69021
150,401-4344-4672,39500,식품,2024-02-26,(주)횡성명품한우유통사업단,39500,1,kwonhayul345,233-87-00692
151,118-8816-4816,22000,도서,2024-03-29,열린책들,44000,2,choihaeun456,101-81-90181
152,499-3145-1794,7800,식품,2024-03-03,풀무원,15600,2,choiseowoo789,315-81-01744
153,496-8313-4846,400000,패션,2024-03-26,노스페이스,800000,2,hwangseoah123,110-81-27101
154,393-8890-6519,31500,패션,2024-03-14,디스이즈네버댓,31500,1,junghajin890,361-86-01005
155,989-4024-3564,118300,패션,2024-03-07,디스이즈네버댓,118300,1,jungjiho567,361-86-01005
156,897-7580-1220,800000,리빙,2024-03-18,모던홈,800000,1,kangjia901,106-81-54897
157,604-1325-7579,958000,전자기기,2024-03-26,삼성전자,1916000,2,kangsoyul678,124-81-00998
158,326-6430-8907,22000,도서,2024-03-26,열린책들,44000,2,kimminjun123,101-81-90181
159,667-9801-5998,1610000,패션,2024-03-01,아구찜,3220000,2,kimtaewoo456,120-81-79834
160,401-4344-4672,700000,전자기기,2024-03-30,삼성전자,1400000,2,kwonhayul345,124-81-00998
161,440-9325-8184,239000,패션,2024-03-13,나이스,239000,1,leejian567,211-81-30457
162,338-3064-9348,200000,패션,2024-03-30,아디오스,200000,1,leeseoyeon234,214-21-07412
163,589-3176-5724,134000,공구,2024-03-13,Bosch,268000,2,limyuna890,314-81-70874
164,552-1199-3545,39600,식품,2024-03-06,농심,79200,2,nohjunhyuk012,118-81-03914
165,832-8847-7656,128400,공구,2024-03-30,Bosch,128400,1,ohsiwoo234,314-81-70874
166,857-7882-7770,150000,리빙,2024-03-31,모던홈,150000,1,parkdoyun345,106-81-54897
167,247-2596-5623,24000,도서,2024-03-10,길벗,48000,2,parkyejun678,105-81-69021
168,354-2077-6032,2690000,전자기기,2024-03-16,LG전자,2690000,1,sonminseo901,107-86-14075
169,834-2467-5017,28000,식품,2024-03-20,(주)해맑음푸드,56000,2,yoondoyun012,137-86-46087
170,996-1567-2673,69000,리빙,2024-03-28,모던홈,69000,1,yoonhajun789,106-81-54897
171,118-8816-4816,31500,패션,2024-03-29,디스이즈네버댓,31500,1,choihaeun456,361-86-01005
172,499-3145-1794,700000,전자기기,2024-03-08,삼성전자,700000,1,choiseowoo789,124-81-00998
173,496-8313-4846,12800,도서,2024-03-02,열린책들,25600,2,hwangseoah123,101-81-90181
174,393-8890-6519,150000,리빙,2024-03-26,모던홈,300000,2,junghajin890,106-81-54897
175,989-4024-3564,185780,공구,2024-03-12,Bosch,185780,1,jungjiho567,314-81-70874
176,897-7580-1220,150000,리빙,2024-03-03,모던홈,300000,2,kangjia901,106-81-54897
177,604-1325-7579,12800,도서,2024-03-03,열린책들,25600,2,kangsoyul678,101-81-90181
178,326-6430-8907,29800,도서,2024-03-07,길벗,59600,2,kimminjun123,105-81-69021
179,667-9801-5998,21000,도서,2024-03-12,길벗,21000,1,kimtaewoo456,105-81-69021
180,401-4344-4672,28000,식품,2024-03-27,(주)해맑음푸드,56000,2,kwonhayul345,137-86-46087
181,440-9325-8184,1610000,패션,2024-03-19,아구찜,1610000,1,leejian567,120-81-79834
182,338-3064-9348,2690000,전자기기,2024-03-21,LG전자,5380000,2,leeseoyeon234,107-86-14075
183,589-3176-5724,12800,도서,2024-03-03,열린책들,25600,2,limyuna890,101-81-90181
184,552-1199-3545,39600,식품,2024-03-04,농심,79200,2,nohjunhyuk012,118-81-03914
185,832-8847-7656,700000,전자기기,2024-03-09,삼성전자,1400000,2,ohsiwoo234,124-81-00998
186,857-7882-7770,134000,공구,2024-03-03,Bosch,268000,2,parkdoyun345,314-81-70874
187,247-2596-5623,134000,공구,2024-03-21,Bosch,134000,1,parkyejun678,314-81-70874
188,354-2077-6032,700000,전자기기,2024-03-16,삼성전자,700000,1,sonminseo901,124-81-00998
189,834-2467-5017,26000,식품,2024-03-07,롯데칠성음료,26000,1,yoondoyun012,214-81-07770
190,996-1567-2673,13800,도서,2024-03-27,열린책들,27600,2,yoonhajun789,101-81-90181
191,118-8816-4816,13800,도서,2024-03-15,열린책들,27600,2,choihaeun456,101-81-90181
192,499-3145-1794,26000,식품,2024-03-25,롯데칠성음료,52000,2,choiseowoo789,214-81-07770
193,496-8313-4846,200000,패션,2024-03-12,아디오스,400000,2,hwangseoah123,214-21-07412
194,393-8890-6519,142800,공구,2024-03-04,Bosch,142800,1,junghajin890,314-81-70874
195,989-4024-3564,22000,도서,2024-03-29,열린책들,44000,2,jungjiho567,101-81-90181
196,897-7580-1220,300000,전자기기,2024-03-11,위니아,600000,2,kangjia901,290-85-00804
197,604-1325-7579,31500,패션,2024-03-10,디스이즈네버댓,31500,1,kangsoyul678,361-86-01005
198,326-6430-8907,17700,도서,2024-03-14,길벗,17700,1,kimminjun123,105-81-69021
199,667-9801-5998,22000,도서,2024-03-31,열린책들,22000,1,kimtaewoo456,101-81-90181
200,401-4344-4672,29800,도서,2024-03-17,길벗,59600,2,kwonhayul345,105-81-69021
201,440-9325-8184,185780,공구,2024-03-06,Bosch,185780,1,leejian567,314-81-70874
202,338-3064-9348,17700,도서,2024-03-25,길벗,35400,2,leeseoyeon234,105-81-69021
203,589-3176-5724,185780,공구,2024-03-22,Bosch,185780,1,limyuna890,314-81-70874
204,552-1199-3545,648000,전자기기,2024-03-29,엠지텍,648000,1,nohjunhyuk012,135-81-89784
205,832-8847-7656,142800,공구,2024-03-25,Bosch,142800,1,ohsiwoo234,314-81-70874
206,857-7882-7770,142800,공구,2024-03-26,Bosch,142800,1,parkdoyun345,314-81-70874
207,247-2596-5623,115000,패션,2024-03-14,나이스,230000,2,parkyejun678,211-81-30457
208,354-2077-6032,22000,도서,2024-03-12,열린책들,22000,1,sonminseo901,101-81-90181
209,834-2467-5017,400000,패션,2024-03-06,노스페이스,800000,2,yoondoyun012,110-81-27101
210,996-1567-2673,14900,식품,2024-03-10,(주)해맑음푸드,29800,2,yoonhajun789,137-86-46087
211,118-8816-4816,13800,도서,2024-03-13,열린책들,13800,1,choihaeun456,101-81-90181
212,499-3145-1794,75000,리빙,2024-03-04,모던홈,150000,2,choiseowoo789,106-81-54897
213,496-8313-4846,75000,리빙,2024-03-04,모던홈,75000,1,hwangseoah123,106-81-54897
214,393-8890-6519,419000,전자기기,2024-03-03,알파스캔,419000,1,junghajin890,116-81-50968
215,989-4024-3564,350000,전자기기,2024-03-18,삼성전자,350000,1,jungjiho567,124-81-00998
216,897-7580-1220,43900,식품,2024-03-31,농협,43900,1,kangjia901,119-85-45180
217,604-1325-7579,4900000,패션,2024-03-07,아구찜,9800000,2,kangsoyul678,120-81-79834
218,326-6430-8907,24000,도서,2024-03-19,길벗,48000,2,kimminjun123,105-81-69021
219,667-9801-5998,22000,도서,2024-03-25,열린책들,22000,1,kimtaewoo456,101-81-90181
220,401-4344-4672,43900,식품,2024-03-02,농협,87800,2,kwonhayul345,119-85-45180
221,440-9325-8184,419000,전자기기,2024-03-23,알파스캔,419000,1,leejian567,116-81-50968
222,338-3064-9348,139000,패션,2024-03-13,아디오스,278000,2,leeseoyeon234,214-21-07412
223,589-3176-5724,22000,도서,2024-03-23,열린책들,44000,2,limyuna890,101-81-90181
224,552-1199-3545,39500,식품,2024-03-15,(주)횡성명품한우유통사업단,79000,2,nohjunhyuk012,233-87-00692
225,832-8847-7656,13800,도서,2024-03-26,열린책들,27600,2,ohsiwoo234,101-81-90181
226,857-7882-7770,22000,도서,2024-03-08,열린책들,22000,1,parkdoyun345,101-81-90181
227,247-2596-5623,200000,패션,2024-03-12,아디오스,200000,1,parkyejun678,214-21-07412
228,354-2077-6032,700000,리빙,2024-03-09,모던홈,1400000,2,sonminseo901,106-81-54897
229,834-2467-5017,150000,리빙,2024-03-03,모던홈,150000,1,yoondoyun012,106-81-54897
230,996-1567-2673,31500,패션,2024-03-22,디스이즈네버댓,63000,2,yoonhajun789,361-86-01005
231,118-8816-4816,28000,식품,2024-03-05,도드람양돈협동조합,56000,2,choihaeun456,126-82-04416
232,499-3145-1794,13800,도서,2024-03-22,열린책들,27600,2,choiseowoo789,101-81-90181
233,496-8313-4846,139000,패션,2024-03-25,아디오스,139000,1,hwangseoah123,214-21-07412
234,393-8890-6519,118300,패션,2024-03-31,디스이즈네버댓,118300,1,junghajin890,361-86-01005
235,989-4024-3564,134000,공구,2024-03-14,Bosch,268000,2,jungjiho567,314-81-70874
236,897-7580-1220,62300,패션,2024-03-09,노스페이스,62300,1,kangjia901,110-81-27101
237,604-1325-7579,62300,패션,2024-03-10,노스페이스,124600,2,kangsoyul678,110-81-27101
238,326-6430-8907,24000,도서,2024-03-21,길벗,48000,2,kimminjun123,105-81-69021
239,667-9801-5998,29000,도서,2024-03-27,길벗,58000,2,kimtaewoo456,105-81-69021
240,401-4344-4672,24000,도서,2024-03-11,길벗,24000,1,kwonhayul345,105-81-69021
241,440-9325-8184,134000,공구,2024-03-26,Bosch,134000,1,leejian567,314-81-70874
242,338-3064-9348,7800,식품,2024-03-11,풀무원,7800,1,leeseoyeon234,315-81-01744
243,589-3176-5724,13800,도서,2024-03-14,열린책들,13800,1,limyuna890,101-81-90181
244,552-1199-3545,28000,식품,2024-03-20,(주)해맑음푸드,56000,2,nohjunhyuk012,137-86-46087
245,832-8847-7656,21000,도서,2024-03-24,길벗,42000,2,ohsiwoo234,105-81-69021
246,857-7882-7770,118300,패션,2024-03-01,디스이즈네버댓,118300,1,parkdoyun345,361-86-01005
247,247-2596-5623,69000,리빙,2024-03-20,모던홈,69000,1,parkyejun678,106-81-54897
248,354-2077-6032,24000,도서,2024-03-28,길벗,48000,2,sonminseo901,105-81-69021
249,834-2467-5017,1610000,패션,2024-03-03,아구찜,1610000,1,yoondoyun012,120-81-79834
250,996-1567-2673,240000,전자기기,2024-03-18,캐리어,480000,2,yoonhajun789,141-03-86047
251,118-8816-4816,62300,패션,2024-04-29,노스페이스,124600,2,choihaeun456,110-81-27101
252,499-3145-1794,51600,식품,2024-04-16,(주)동원엔터프라이즈,103200,2,choiseowoo789,214-86-79828
253,496-8313-4846,400000,패션,2024-04-06,노스페이스,400000,1,hwangseoah123,110-81-27101
254,393-8890-6519,142800,공구,2024-04-23,Bosch,285600,2,junghajin890,314-81-70874
255,989-4024-3564,14400,식품,2024-04-07,팔도,43200,3,jungjiho567,308-81-03161
256,897-7580-1220,118300,패션,2024-04-08,디스이즈네버댓,118300,1,kangjia901,361-86-01005
257,604-1325-7579,4900000,패션,2024-04-20,아구찜,9800000,2,kangsoyul678,120-81-79834
258,326-6430-8907,43900,식품,2024-04-21,농협,43900,1,kimminjun123,119-85-45180
259,667-9801-5998,419000,전자기기,2024-04-03,알파스캔,419000,1,kimtaewoo456,116-81-50968
260,401-4344-4672,75000,리빙,2024-04-14,모던홈,150000,2,kwonhayul345,106-81-54897
261,440-9325-8184,142800,공구,2024-04-20,Bosch,285600,2,leejian567,314-81-70874
262,338-3064-9348,69000,리빙,2024-04-06,모던홈,207000,3,leeseoyeon234,106-81-54897
263,589-3176-5724,200000,패션,2024-04-08,아디오스,400000,2,limyuna890,214-21-07412
264,552-1199-3545,14400,식품,2024-04-28,팔도,14400,1,nohjunhyuk012,308-81-03161
265,832-8847-7656,43900,식품,2024-04-26,농협,131700,3,ohsiwoo234,119-85-45180
266,857-7882-7770,239000,패션,2024-04-27,나이스,478000,2,parkdoyun345,211-81-30457
267,247-2596-5623,39600,식품,2024-04-09,농심,39600,1,parkyejun678,118-81-03914
268,354-2077-6032,75000,리빙,2024-04-14,모던홈,75000,1,sonminseo901,106-81-54897
269,834-2467-5017,419000,전자기기,2024-04-21,알파스캔,838000,2,yoondoyun012,116-81-50968
270,996-1567-2673,17700,도서,2024-04-21,길벗,17700,1,yoonhajun789,105-81-69021
271,118-8816-4816,118300,패션,2024-04-10,디스이즈네버댓,236600,2,choihaeun456,361-86-01005
272,499-3145-1794,24000,도서,2024-04-07,길벗,48000,2,choiseowoo789,105-81-69021
273,496-8313-4846,75000,리빙,2024-04-21,모던홈,150000,2,hwangseoah123,106-81-54897
274,393-8890-6519,118300,패션,2024-04-03,디스이즈네버댓,236600,2,junghajin890,361-86-01005
275,989-4024-3564,98270,공구,2024-04-24,Bosch,196540,2,jungjiho567,314-81-70874
276,897-7580-1220,240000,전자기기,2024-04-25,캐리어,480000,2,kangjia901,141-03-86047
277,604-1325-7579,400000,패션,2024-04-26,노스페이스,400000,1,kangsoyul678,110-81-27101
278,326-6430-8907,13800,도서,2024-04-16,열린책들,41400,3,kimminjun123,101-81-90181
279,667-9801-5998,24000,도서,2024-04-12,길벗,48000,2,kimtaewoo456,105-81-69021
280,401-4344-4672,7800,식품,2024-04-14,풀무원,15600,2,kwonhayul345,315-81-01744
281,440-9325-8184,115000,패션,2024-04-25,나이스,115000,1,leejian567,211-81-30457
282,338-3064-9348,24000,도서,2024-04-08,길벗,72000,3,leeseoyeon234,105-81-69021
283,589-3176-5724,150000,리빙,2024-04-29,모던홈,150000,1,limyuna890,106-81-54897
284,552-1199-3545,240000,전자기기,2024-04-12,캐리어,480000,2,nohjunhyuk012,141-03-86047
